Top Features by Gini Impurity Reduction:
Index	Score
-----	-----
537	-0.052962
58	-0.052961
481	-0.052960
686	-0.052959
495	-0.052958
97	-0.052957
6	-0.052954
188	-0.052953
756	-0.052951
491	-0.052949
573	-0.052945
88	-0.052945
507	-0.052936
734	-0.052934
388	-0.052933
366	-0.052932
322	-0.052931
225	-0.052929
627	-0.052928
288	-0.052919
553	-0.052918
422	-0.052917
547	-0.052917
315	-0.052917
348	-0.052916
3	-0.052914
228	-0.052906
48	-0.052905
175	-0.052904
404	-0.052902
636	-0.052897
411	-0.052897
240	-0.052894
227	-0.052893
102	-0.052890
662	-0.052889
152	-0.052889
280	-0.052886
308	-0.052886
432	-0.052880
646	-0.052879
380	-0.052878
261	-0.052867
299	-0.052860
606	-0.052859
389	-0.052856
8	-0.052855
648	-0.052851
169	-0.052846
519	-0.052845
749	-0.052845
155	-0.052841
133	-0.052839
266	-0.052838
242	-0.052834
400	-0.052833
127	-0.052827
579	-0.052827
559	-0.052815
40	-0.052814
168	-0.052813
474	-0.052804
214	-0.052801
312	-0.052793
80	-0.052791
382	-0.052790
605	-0.052786
549	-0.052778
245	-0.052774
183	-0.052759
526	-0.052754
403	-0.052753
359	-0.052737
558	-0.052729
407	-0.052728
709	-0.052727
453	-0.052720
594	-0.052716
302	-0.052715
617	-0.052714
496	-0.052705
447	-0.052699
716	-0.052692
581	-0.052687
444	-0.052683
66	-0.052672
480	-0.052672
101	-0.052658
479	-0.052656
551	-0.052616
684	-0.052613
494	-0.052594
92	-0.052563
588	-0.052560
317	-0.052518
77	-0.052507
333	-0.052489
82	-0.052475
306	-0.052444
614	-0.052393
