Top Features by Gini Impurity Reduction:
Index	Score
750	-0.053282
355	-0.053281
484	-0.053277
277	-0.053272
589	-0.053269
335	-0.053267
244	-0.053266
586	-0.053264
29	-0.053264
233	-0.053259
570	-0.053257
120	-0.053257
209	-0.053257
334	-0.053256
385	-0.053256
251	-0.053252
323	-0.053251
310	-0.053248
297	-0.053247
440	-0.053244
552	-0.053244
59	-0.053242
185	-0.053239
118	-0.053239
737	-0.053236
143	-0.053236
415	-0.053236
69	-0.053235
693	-0.053235
572	-0.053235
485	-0.053234
198	-0.053234
157	-0.053234
31	-0.053232
325	-0.053227
530	-0.053221
316	-0.053218
578	-0.053217
339	-0.053217
176	-0.053213
179	-0.053212
642	-0.053211
362	-0.053211
11	-0.053211
714	-0.053202
62	-0.053200
230	-0.053196
669	-0.053193
270	-0.053193
512	-0.053190
383	-0.053187
406	-0.053183
34	-0.053174
505	-0.053174
281	-0.053172
402	-0.053172
37	-0.053171
565	-0.053170
732	-0.053169
412	-0.053169
702	-0.053165
500	-0.053165
36	-0.053163
119	-0.053158
195	-0.053158
464	-0.053158
478	-0.053147
156	-0.053145
110	-0.053144
694	-0.053139
748	-0.053138
78	-0.053138
255	-0.053132
661	-0.053127
521	-0.053124
363	-0.053124
91	-0.053122
751	-0.053122
220	-0.053121
84	-0.053121
575	-0.053120
413	-0.053120
358	-0.053120
365	-0.053118
182	-0.053117
351	-0.053117
577	-0.053117
563	-0.053115
30	-0.053113
498	-0.053112
203	-0.053110
503	-0.053109
623	-0.053108
746	-0.053107
126	-0.053103
330	-0.053102
666	-0.053101
100	-0.053100
695	-0.053099
212	-0.053097
257	-0.053097
674	-0.053096
461	-0.053096
683	-0.053094
473	-0.053089
278	-0.053087
470	-0.053086
391	-0.053083
524	-0.053081
463	-0.053080
477	-0.053079
158	-0.053078
47	-0.053075
63	-0.053075
567	-0.053073
12	-0.053072
211	-0.053072
286	-0.053069
410	-0.053064
396	-0.053061
536	-0.053049
469	-0.053049
268	-0.053048
538	-0.053046
349	-0.053046
743	-0.053045
284	-0.053043
621	-0.053043
644	-0.053042
253	-0.053042
130	-0.053034
717	-0.053031
630	-0.053030
219	-0.053028
1	-0.053025
687	-0.053024
651	-0.053024
472	-0.053022
345	-0.053021
290	-0.053016
304	-0.053015
150	-0.053005
419	-0.053000
293	-0.052994
764	-0.052992
747	-0.052989
483	-0.052984
752	-0.052983
210	-0.052983
295	-0.052981
301	-0.052981
167	-0.052977
541	-0.052974
328	-0.052971
603	-0.052968
19	-0.052964
601	-0.052963
537	-0.052962
58	-0.052961
481	-0.052960
686	-0.052959
495	-0.052958
97	-0.052957
6	-0.052954
188	-0.052953
756	-0.052951
491	-0.052949
573	-0.052945
88	-0.052945
507	-0.052936
734	-0.052934
388	-0.052933
366	-0.052932
322	-0.052931
225	-0.052929
627	-0.052928
288	-0.052919
553	-0.052918
422	-0.052917
547	-0.052917
315	-0.052917
348	-0.052916
3	-0.052914
228	-0.052906
48	-0.052905
175	-0.052904
404	-0.052902
636	-0.052897
411	-0.052897
240	-0.052894
227	-0.052893
102	-0.052890
662	-0.052889
152	-0.052889
280	-0.052886
308	-0.052886
432	-0.052880
646	-0.052879
380	-0.052878
261	-0.052867
299	-0.052860
606	-0.052859
389	-0.052856
8	-0.052855
648	-0.052851
169	-0.052846
519	-0.052845
749	-0.052845
155	-0.052841
133	-0.052839
266	-0.052838
242	-0.052834
400	-0.052833
127	-0.052827
579	-0.052827
559	-0.052815
40	-0.052814
168	-0.052813
474	-0.052804
214	-0.052801
312	-0.052793
80	-0.052791
382	-0.052790
605	-0.052786
549	-0.052778
245	-0.052774
183	-0.052759
526	-0.052754
403	-0.052753
359	-0.052737
558	-0.052729
407	-0.052728
709	-0.052727
453	-0.052720
594	-0.052716
302	-0.052715
617	-0.052714
496	-0.052705
447	-0.052699
716	-0.052692
581	-0.052687
444	-0.052683
66	-0.052672
480	-0.052672
101	-0.052658
479	-0.052656
551	-0.052616
684	-0.052613
494	-0.052594
92	-0.052563
588	-0.052560
317	-0.052518
77	-0.052507
333	-0.052489
82	-0.052475
306	-0.052444
614	-0.052393
